Model,MAE,RMSE,MAPE,Type
XGBoost (tuned),307.35141251001613,754.1095779644919,8.199765763157368,Advanced
XGBoost (default),322.8125771859976,1276.891382485057,7.689753253549918,Advanced
Moving Avg (7),1452.5111564625852,1847.1098380825256,43.48687997306736,Baseline
Naive-1,1826.1935714285712,2489.157365852664,51.855065703657424,Baseline
Naive-7,1958.729404761905,2618.9500662604232,58.96711876465325,Baseline
SARIMA,2458.0917861305675,3060.5952753538977,55.49546252102385,Baseline
Prophet,2671.1056131042997,3263.1246257346174,61.37883368681757,Advanced
