Model,MAE,RMSE,MAPE
Moving Avg (7),1452.5111564625852,1847.1098380825256,43.48687997306736
Naive-1,1826.1935714285712,2489.157365852664,51.855065703657424
Naive-7,1958.729404761905,2618.9500662604232,58.96711876465325
SARIMA,2458.0917861305675,3060.5952753538977,55.49546252102385
